Period,Ngày nhập kho,SUB code,Item code,Type,QTY ACTUAL,QTY RETURN,Ghi chú
2026-04,2026-04-04 00:00:00,,HOUX01128NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX01130NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01131NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX01136NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01137NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX01139NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01146NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,HOUX01148NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01149NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01156NA,MAT,2000,,
2026-04,2026-04-04 00:00:00,,HOUX01160NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01191NA,MAT,6000,,
2026-04,2026-04-04 00:00:00,,HOUX01194NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01195NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01204NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01206NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01210NA,MAT,500,,
2026-04,2026-04-04 00:00:00,,HOUX01211NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01213NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01215NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01216NA,MAT,5000,,
2026-04,2026-04-04 00:00:00,,HOUX01217NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,HOUX01239NA,MAT,5000,,
2026-04,2026-04-04 00:00:00,,HOUX01251NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,HOUX01362NA,MAT,500,,
2026-04,2026-04-04 00:00:00,,HOUX01364NA,MAT,2500,,
2026-04,2026-04-04 00:00:00,,SELA00029NA,MAT,4000,,
2026-04,2026-04-04 00:00:00,,SELA00032NA,MAT,1000,,
2026-04,2026-04-04 00:00:00,,TAPB00003NA,MAT,4440,,
2026-04,2026-04-04 00:00:00,,TAPA00013NA,MAT,13480,,
2026-04,2026-04-04 00:00:00,,TPAX00080NA,MAT,1500,,
2026-04,2026-04-04 00:00:00,,TPAX00101NA,MAT,5500,,
