Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,Mã NVL,Tên hàng,ĐVT,Type,QTY INPUT,Ngày giao hàng,QTY RETURN,Remark
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX02759NA,"HOUX02759NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 2.4* 1.78*0.79cm, 85002HS-02, hàng mới 100%, loại HOUX02759NA",PCE,MAT,2000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00572NA,"TPAX00572NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), 85002RT-H03B(RE), hàng mới 100%, loại TPAX00572NA",PCE,MAT,2000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00573NA,"TPAX00573NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), 85002RT-H03A, hàng mới 100%, loại TPAX00573NA",PCE,MAT,2000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00376NA,"TPAX00376NA#&Chốt khóa bằng nhựa (cố định dây điện và đầu nối), XMS-11V / PWASX-11V-K, hàng mới 100%, loại TPAX00376NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,HOUX00890NA,"HOUX00890NA#&Đầu nối bằng nhựa dùng để cách điện đầu cốt dây điện, kt: 1.3* 0.6*1.3cm, CHD1140-05, hàng mới 100%, loại HOUX00890NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,TPAX00183NA,"TPAX00183NA#&Chốt khóa bằng nhựa (Cố định dây điện và đầu nối), HL-N1140-06, hàng mới 100%, loại TPAX00183NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040001-PC,FOMA00360NA,"FOMA00360NA#&Mút xốp tự dính bảo vệ dây điện, chất liệu: nhựa PU, loại mềm, dạng miếng dính 1 mặt, kích thước 1 cái: 5T*80*80 mm, hàng mới 100%, loại FOMA00360NA",PCE,MAT,1000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040002-PC,EAD63913527-C,"EAD63913527-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh, bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD63913527-C",SET/ Bộ,WIP,2000,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040002-PC,EAD66065901-C,"EAD66065901-C#&Bán thành phẩm-Bộ dây dẫn điện dùng cho tủ lạnh , bọc plastic, đường kính lõi không quá 5mm, đã gắn đầu nối, hàng mới 100%, loại EAD66065901-C",SET/ Bộ,WIP,500,,,
2026-04,108109881500,2026-04-01 00:00:00,E21,HSEVN-CK2026040002-PC,EAD63913527-C-TUBA-089,"EAD63913527-C-TUBA-089#&Ống giữ dây điện bằng nhựa PVC, dạng mềm, không kèm các phụ kiện khác, phi 8mm, VIT-600 8 T1, hàng mới 100%, loại TUBA00089NA",PCE,WIP,2000,,,
