Period,Ngày,Ngày tháng,HS code,Prod code,Sale code,Item code,STOCK OUT,Transaction type,QTY,Level subcon,Remark
2026-04,11,2026-04-11 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1100,2,
2026-04,11,2026-04-11 00:00:00,EAD65616820,EAD65616820-I,EAD65616820-I,,CKVB,SUB IN,44,2,
2026-04,11,2026-04-11 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,598,2,
2026-04,11,2026-04-11 00:00:00,EAD63707539,EAD63707539-T,EAD63707539-T,,CKAL,SUB IN,280,2,
2026-04,11,2026-04-11 00:00:00,EAD63707525,EAD63707525-I,EAD63707525-I,,CKAL,SUB IN,280,2,
2026-04,11,2026-04-11 00:00:00,EAD63707540,EAD63707540-T,EAD63707540-T,,CKAL,SUB IN,560,2,
2026-04,11,2026-04-11 00:00:00,EAD62428629V1,EAD62428629-T,EAD62428629-T,,CKAL,SUB IN,2000,2,
2026-04,11,2026-04-11 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,1000,2,
2026-04,11,2026-04-11 00:00:00,EAD62468244,EAD62468244-T,EAD62468244-T,,CKAL,SUB IN,4000,2,
2026-04,12,2026-04-12 00:00:00,EAD64169023,EAD64169023-I,EAD64169023-I,,CKTN,SUB IN,490,2,
2026-04,12,2026-04-12 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,200,2,
2026-04,12,2026-04-12 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,,CKMT,SUB IN,300,2,
2026-04,13,2026-04-13 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,1000,2,
2026-04,13,2026-04-13 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,490,2,
2026-04,13,2026-04-13 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,998,2,
2026-04,13,2026-04-13 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,497,2,
2026-04,13,2026-04-13 00:00:00,EAD63845502,EAD63845502-T,EAD63845502-T,,CKAL,SUB IN,26,2,
2026-04,13,2026-04-13 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,2000,2,
2026-04,13,2026-04-13 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,4000,2,
2026-04,13,2026-04-13 00:00:00,EAD64545392V1,EAD64545392-I,EAD64545392-I,,CKTN,SUB IN,490,2,
2026-04,13,2026-04-13 00:00:00,6850EC3006X,6850EC3006X-T,6850EC3006X-T,,CKAL,SUB IN,1000,2,
2026-04,13,2026-04-13 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,493,2,
2026-04,14,2026-04-14 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,494,2,
2026-04,14,2026-04-14 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,1000,2,
2026-04,14,2026-04-14 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,2,2,
2026-04,14,2026-04-14 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKVB,SUB IN,36,2,
2026-04,14,2026-04-14 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,994,2,
2026-04,14,2026-04-14 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,529,2,
2026-04,14,2026-04-14 00:00:00,EAD63911358,EAD63911358-I,EAD63911358-I,,CKMT,SUB IN,150,2,
2026-04,14,2026-04-14 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,,CKAL,SUB IN,997,2,
2026-04,14,2026-04-14 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,998,2,
2026-04,14,2026-04-14 00:00:00,7200007556V1,7200007556-I1,7200007556-I,,CKMT,SUB IN,289,2,
2026-04,14,2026-04-14 00:00:00,EAD63911348,EAD63911348-I,EAD63911348-I,,CKMT,SUB IN,499,2,
2026-04,14,2026-04-14 00:00:00,7200007689,7200007689-I,7200007689-I,,CKTN,SUB IN,3,2,
2026-04,15,2026-04-15 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,500,2,
2026-04,15,2026-04-15 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,500,2,
2026-04,15,2026-04-15 00:00:00,6850EC3006V,6850EC3006V-T,6850EC3006V-T,,CKAL,SUB IN,1000,2,
2026-04,15,2026-04-15 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,4000,2,
2026-04,15,2026-04-15 00:00:00,EAD63913527V1,EAD63913527-I,EAD63913527-I,,CKVB,SUB IN,1000,2,
2026-04,15,2026-04-15 00:00:00,EAD62090005,EAD62090005-T,EAD62090005-T,,CKAL,SUB IN,799,2,
2026-04,15,2026-04-15 00:00:00,EAD66006019,EAD66006019-I,EAD66006019-I,,CKTN,SUB IN,500,2,
2026-04,15,2026-04-15 00:00:00,EAD63647078,EAD63647078-I,EAD63647078-I,,CKAL,SUB IN,30,2,
2026-04,15,2026-04-15 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,999,2,
2026-04,15,2026-04-15 00:00:00,EAD64169023,EAD64169023-I,EAD64169023-I,,CKTN,SUB IN,150,2,
2026-04,15,2026-04-15 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,-1,2,
2026-04,15,2026-04-15 00:00:00,EAD65616822,EAD65616822-I,EAD65616822-I,,CKVB,SUB IN,-10,2,
2026-04,15,2026-04-15 00:00:00,EAD65895024,EAD65895024-I,EAD65895024-I,,CKAL,SUB IN,-1,2,
2026-04,15,2026-04-15 00:00:00,EAD66091501V3,EAD66091501-I,EAD66091501-I,,CKVB,SUB IN,-4,2,
2026-04,15,2026-04-15 00:00:00,EAD66091503V3,EAD66091503-I,EAD66091503-I,,CKVB,SUB IN,-8,2,
2026-04,15,2026-04-15 00:00:00,EAD64745815V1,EAD64745815-I,EAD64745815-I,,CKVB,SUB IN,-11,2,
2026-04,15,2026-04-15 00:00:00,EAD65616818,EAD65616818-I,EAD65616818-I,,CKTN,SUB IN,-8,2,
2026-04,16,2026-04-16 00:00:00,EAD66065901V1,EAD66065901-I,EAD66065901-I,,CKAL,SUB IN,500,2,
2026-04,16,2026-04-16 00:00:00,EAD63954790,EAD63954790-I,EAD63954790-I,,CKTN,SUB IN,300,2,
2026-04,16,2026-04-16 00:00:00,EAD64587804V1,EAD64587804-I,EAD64587804-I,,CKAL,SUB IN,2000,2,
