Period,Số tờ khai,Ngày TK,Mã loại hình,Số hóa đơn,HS code,Prod code,Sale code,ĐVT,QTY SALE,Ngày giao hàng,QTY RETURN,Remark
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,4000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD63911418,EAD63911418-I,EAD63911418-I,SET/ Bộ,484,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,2800,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD62061319,EAD62061319-T,EAD62061319-T,SET/ Bộ,1000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD62428629V1,EAD62428629-T,EAD62428629-T,SET/ Bộ,2000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,2000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD66091503V3,EAD66091503-I,EAD66091503-I,SET/ Bộ,500,,,
2026-04,308444086810,2026-04-17 00:00:00,E52,190,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,994,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD65616818,EAD65616818-I,EAD65616818-I,SET/ Bộ,983,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD62468244,EAD62468244-T,EAD62468244-T,SET/ Bộ,4000,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD61212398V1,EAD61212398-T1,EAD61212398-T,SET/ Bộ,2021,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,6850EC3006V,6850EC3006V-T,6850EC3006V-T,SET/ Bộ,1000,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD63911358,EAD63911358-I,EAD63911358-I,SET/ Bộ,591,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD64587804V1,EAD64587804-I,EAD64587804-I,SET/ Bộ,5000,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD64545392V1,EAD64545392-I,EAD64545392-I,SET/ Bộ,248,,,EAD64545392-I1
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD64545339-A,EAD64545339-A-I,EAD64545339-A-I,SET/ Bộ,100,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD64745815V1,EAD64745815-I,EAD64745815-I,SET/ Bộ,488,,,
2026-04,308453245240,2026-04-20 00:00:00,,192,EAD63913527V1,EAD63913527-I,EAD63913527-I,SET/ Bộ,1000,,,
2026-04,308458251530,2026-04-21 00:00:00,,193,EAD65895024,EAD65895024-I,EAD65895024-I,SET/ Bộ,500,,,
