No.,Type code,Item code,Spec,Unit,Đơn giá TK
283,NVL,HOUX01211NA,",,HOUSING ,SL-48M",EA,702
284,NVL,HOUX01213NA,",,HOUSING ,SL-49P",EA,669
285,NVL,HOUX01215NA,",,HOUSING ,SL-58T",EA,825
286,NVL,HOUX01216NA,",,HOUSING ,SL-58T BL",EA,825
287,NVL,HOUX01217NA,",,HOUSING ,SL-58T RD",EA,825
288,NVL,HOUX01225NA,",,HOUSING ,SMH200-03H",EA,194
289,NVL,HOUX01234NA,",,HOUSING ,SMH200-05H",EA,238
290,NVL,HOUX01238NA,",,HOUSING ,SMH200-06",EA,238
291,NVL,HOUX01239NA,",,HOUSING ,SMH200-06H",EA,251
292,NVL,HOUX01241NA,",,HOUSING ,SMH200-07H",EA,370
293,NVL,HOUX01245NA,",,HOUSING,SMH200-08H",EA,403
294,NVL,HOUX01251NA,",,HOUSING ,SMH200-10H",EA,337
295,NVL,HOUX01259NA,",,HOUSING,SMH200-13H",EA,413
296,NVL,HOUX01362NA,",,HOUSING ,SMH600-03D(YE)",EA,726
297,NVL,HOUX01364NA,",,HOUSING ,SMH600-04D",EA,629
298,NVL,HOUX01440NA,",,HOUSING ,VHR-1N-WGL1-1",EA,699
299,NVL,HOUX01476NA,",,HOUSING,XMP-16V-WGL1",EA,3951
300,NVL,HOUX01478NA,",,HOUSING,XMR-16V(LG)",EA,5264
301,NVL,HOUX01505NA,",,HOUSING,YDH236-02B1 YL",EA,421
302,NVL,HOUX01519NA,",,HOUSING,YH396-03JR",EA,264
303,NVL,HOUX01531NA,",,HOUSING ,YH396-05JR",EA,330
304,NVL,HOUX01538NA,",,HOUSING,YH396-06JR",EA,363
305,NVL,HOUX01540NA,",,HOUSING ,YH396-07JR",EA,418
306,NVL,HOUX01548NA,",,HOUSING ,YH396-09JR",EA,534
307,NVL,HOUX01553NA,",,HOUSING,YH396-11JR",EA,556
308,NVL,HOUX01562NA,",,HOUSING,YH396-H05PL",EA,1600
309,NVL,HOUX01563NA,",,TPA ,YH396-H05PR(RE)",EA,706
310,NVL,HOUX01566NA,",,HOUSING ,YH500-06C(BL)",EA,502
311,NVL,HOUX01576NA,",,HOUSING,YLP-03V",EA,681
312,NVL,HOUX01594NA,",,HOUSING,YLR-03VF",EA,1044
313,NVL,HOUX01605NA,",,HOUSING,YLR-16V",EA,3866
314,NVL,HOUX01659NA,",,HOUSING,PNDP-28V-Z",EA,1906
315,NVL,HOUX01694NA,",,HOUSING,204102-0429(NT)",EA,2889
316,NVL,HOUX01731NA,",,HOUSING,SMH200-H08PR",EA,775
317,NVL,HOUX01842NA,",,HOUSING,2369507-1",EA,829
318,NVL,HOUX01867NA,",,HOUSING ,5037-5023(5264-02)",EA,220
319,NVL,HOUX01875NA,",,HOUSING ,35155-0200",EA,264
320,NVL,HOUX01879NA,",,HOUSING ,3901-2040(5557-04R)",EA,1002
321,NVL,HOUX01880NA,",,HOUSING ,3901-2080(5557-08R)",EA,1784
